category,output_class,precision,recall,f1-score,support
shelter,1,0.8333333333333334,0.4140786749482402,0.5532503457814661,483.0
shelter,macro avg,0.8881729091153174,0.7028047408194514,0.7599567860603068,5206.0
shelter,weighted avg,0.9328367203553507,0.9379562043795621,0.9283077862105726,5206.0
clothing,0,0.9857363145720894,0.9994137189759624,0.9925278990781174,5117.0
clothing,1,0.8333333333333334,0.16853932584269662,0.2803738317757009,89.0
clothing,macro avg,0.9095348239527115,0.5839765224093295,0.6364508654269092,5206.0
clothing,weighted avg,0.9831308851963213,0.9852093737994622,0.9803531560911956,5206.0
money,0,0.9801732435033687,0.9992150706436421,0.9896025653483627,5096.0
money,1,0.6363636363636364,0.06363636363636363,0.11570247933884298,110.0
money,macro avg,0.8082684399335025,0.5314257171400029,0.5526525223436028,5206.0
money,weighted avg,0.9729087300985721,0.979446792162889,0.9711375231929561,5206.0
missing_people,0,0.9917387127761768,1.0,0.9958522234011769,5162.0
missing_people,1,1.0,0.022727272727272728,0.044444444444444446,44.0
missing_people,macro avg,0.9958693563880884,0.5113636363636364,0.5201483339228107,5206.0
missing_people,weighted avg,0.9918085354111842,0.9917402996542451,0.9878111280738436,5206.0
refugees,0,0.9720293209876543,0.9990087232355274,0.9853343762221353,5044.0
refugees,1,0.7727272727272727,0.10493827160493827,0.18478260869565216,162.0
refugees,macro avg,0.8723782968574635,0.5519734974202328,0.5850584924588937,5206.0
refugees,weighted avg,0.9658274516410962,0.971187091817134,0.9604228536828939,5206.0
death,0,0.9638273045507585,0.9983883964544722,0.9808034830793588,4964.0
death,1,0.875,0.23140495867768596,0.3660130718954248,242.0
death,macro avg,0.9194136522753793,0.6148966775660791,0.6734082774873918,5206.0
death,weighted avg,0.9596981828255792,0.9627353054168267,0.9522250582797983,5206.0
other_aid,0,0.8816568047337278,0.9882821136413884,0.9319295319503805,4523.0
other_aid,1,0.6102941176470589,0.12152269399707175,0.2026862026862027,683.0
other_aid,macro avg,0.7459754611903933,0.5549024038192301,0.5673078673182916,5206.0
other_aid,weighted avg,0.8460554379876282,0.8745678063772571,0.8362566172582112,5206.0
infrastructure_related,0,0.933718689788054,0.9983518747424804,0.9649542015133413,4854.0
infrastructure_related,1,0.5,0.022727272727272728,0.043478260869565216,352.0
infrastructure_related,macro avg,0.716859344894027,0.5105395737348766,0.5042162311914533,5206.0
infrastructure_related,weighted avg,0.9043931079967755,0.9323857087975413,0.9026492589265934,5206.0
transport,0,0.9578336557059961,0.9981858496270913,0.9775935248247952,4961.0
transport,1,0.75,0.11020408163265306,0.19217081850533807,245.0
transport,macro avg,0.853916827852998,0.5541949656298722,0.5848821716650666,5206.0
